<TICKER>        <NAME>
AJXA.US         Great Ajax Corp
AKA.US          AKA BRANDS HOLDING
AKO-A.US        EMBOTELLADORA ANDINA
AKO-B.US        EMBOTELLADORA ANDINA
AKR.US          ACADIA REALTY TRUST
AL.US           AIR LEASE
ALB.US          ALBEMARLE
ALC.US          ALCON
ALCC.US         ALTC ACQUISITION
ALE.US          ALLETE
ALEX.US         ALEXANDER & BALDWIN
ALG.US          ALAMO GROUP
ALIT.US         ALIGHT
ALK.US          ALASKA AIR GROUP
ALL.US          ALLSTATE
ALLE.US         ALLEGION
ALLG-WS.US      ALLEGO
ALLG.US         ALLEGO
ALLY.US         ALLY FINANCIAL
ALL_B.US        Allstate Corp
ALL_H.US        Allstate Corp
ALL_I.US        Allstate Corp
ALL_J.US        Allstate Corp
ALSN.US         ALLISON TRANSMISSION HOLDINGS
ALTG.US         ALTA EQUIPMENT GROUP
ALTG_A.US       Alta Equipment Group
ALUR-WS.US      ALLURION TECHNOLOGIES
ALUR.US         ALLURION TECHNOLOGIES
ALV.US          AUTOLIV
ALX.US          ALEXANDER'S
AL_A.US         Air Lease Corp
AM.US           ANTERO MIDSTREAM
AMBC.US         AMBAC FINANCIAL GROUP
AMBP-WS.US      ARDAGH METAL PACKAGING
AMBP.US         ARDAGH METAL PACKAGING
AMC.US          AMC ENTERTAINMENT HOLDINGS
AMCR.US         AMCOR
AME.US          AMETEK
AMG.US          AFFILIATED MANAGERS GROUP
AMH.US          AMERICAN HOMES 4 RENT
AMH_G.US        American Homes 4 Rent Series G
AMH_H.US        American Homes 4 Rent Series H
AMK.US          ASSETMARK FINANCIAL HOLDINGS
AMN.US          AMN HEALTHCARE SERVICES
AMP.US          AMERIPRISE FINANCIAL
AMPD.US         CNIC ICE US CARBON NEUTRAL POWER ETF
AMPS.US         ALTUS POWER
AMPX-WS.US      AMPRIUS TECHNOLOGIES
AMPX.US         AMPRIUS TECHNOLOGIES
AMPY.US         AMPLIFY ENERGY
AMR.US          ALPHA METALLURGICAL RESOURCES
AMRC.US         AMERESCO
AMRX.US         AMNEAL PHARMACEUTICALS
AMT.US          AMERICAN TOWER
AMTD.US         AMTD IDEA GROUP
AMWL.US         AMERICAN WELL
AMX.US          AMERICA MOVIL SAB DE CV
AMZY.US         YIELDMAX AMZN OPTION INCOME ETF
AN.US           AUTONATION
ANET.US         ARISTA NETWORKS
ANF.US          ABERCROMBIE & FITCH
AOMR.US         ANGEL OAK MORTGAGE REIT
AON.US          AON
AORT.US         ARTIVION
AOS.US          A O SMITH
AP.US           AMPCO-PITTSBURGH
APAM.US         ARTISAN PARTNERS ASSET MANAGEMENT
APCA-U.US       AP ACQUISITION
APCA-WS.US      AP ACQUISITION
APCA.US         AP ACQUISITION
APCB.US         ACTIVEPASSIVE CORE BOND ETF
APD.US          AIR PRODUCTS AND CHEMICALS
APE.US          AMC ENTERTAINMENT HOLDINGS
APG.US          API GROUP
APGB-U.US       APOLLO STRATEGIC GROWTH CAPITAL II
APGB-WS.US      APOLLO STRATEGIC GROWTH CAPITAL II
APGB.US         APOLLO STRATEGIC GROWTH CAPITAL II
APH.US          AMPHENOL
APIE.US         ACTIVEPASSIVE INT EQUITY ETF
APLE.US         APPLE HOSPITALITY REIT
APLY.US         YIELDMAX AAPL OPTION INCOME STRATEGY ETF
APMU.US         ACTIVEPASSIVE INTERMEDIATE MUNICIPAL BOND ETF
APO.US          APOLLO GLOBAL MANAGEMENT
APRD.US         INNOVATOR PREMIUM INCOME 10 BARRIER ETF APRIL
APRH.US         INNOVATOR PREMIUM INCOME 20 BARRIER ETF APRIL
APRJ.US         INNOVATOR PREMIUM INCOME 30 BARRIER ETF APRIL
APRN.US         BLUE APRON HOLDINGS
APRQ.US         INNOVATOR PREMIUM INCOME 40 BARRIER ETF APRIL
APRT.US         ALLIANZIM US LARGE CAP BUFFER10 APR ETF
APRW.US         ALLIANZIM US LARGE CAP BUFFER20 APR ETF
APTV.US         APTIV
APUE.US         ACTIVEPASSIVE US EQUITY ETF
AQN.US          ALGONQUIN POWER & UTILITIES
AQNA.US         Algonquin Power & Utilities Co
AQNB.US         Algonquin Power & Utilities Co
AQNU.US         Algonquin Power & Utilities Co
AQUA.US         EVOQUA WATER TECHNOLOGIES
AR.US           ANTERO RESOURCES
ARC.US          ARC DOCUMENT SOLUTIONS
ARCH.US         ARCH RESOURCES
ARCO.US         ARCOS DORADOS HOLDINGS
ARDC.US         ARES DYNAMIC CREDIT ALLOCATION FUND
ARE.US          ALEXANDRIA REAL ESTATE EQUITIES
ARES.US         ARES MANAGEMENT
ARGD.US         Argo Group US
ARGO.US         ARGO GROUP INT HOLDINGS
ARGO_A.US       Argo Group International Holdi
ARI.US          APOLLO COMMERCIAL REAL ESTATE FINANCE
ARIS.US         ARIS WATER SOLUTIONS
ARL.US          AMERICAN REALTY INVESTORS
ARLO.US         ARLO TECHNOLOGIES
ARMK.US         ARAMARK
ARNC.US         ARCONIC
AROC.US         ARCHROCK
ARP.US          PMV ADAPTIVE RISK PARITY ETF
ARR.US          ARMOUR RESIDENTIAL REIT
ARR_C.US        ARMOUR Residential REIT
ARW.US          ARROW ELECTRONICS
ASA.US          ASA GOLD AND PRECIOUS METALS
ASAI.US         SENDAS DISTRIBUIDORA S/A
ASAN.US         ASANA
ASB.US          ASSOCIATED BANC-CORP
ASBA.US         Associated Banc-Corp
ASB_E.US        Associated Banc-Corp
ASB_F.US        Associated Banc-Corp
ASC.US          ARDMORE SHIPPING
ASG.US          LIBERTY ALL STAR GROWTH FUND
ASGI.US         ABRDN GLOBAL INFRASTRUCTURE IN
ASGN.US         ASGN
ASH.US          ASHLAND
ASIX.US         ADVANSIX
ASPN.US         ASPEN AEROGELS
ASR.US          GRUPO AEROPORTUARIO DEL SURESTE SAB DE CV
ASX.US          ASE TECHNOLOGY HOLDING
ATAQ-U.US       ALTIMAR ACQUISITION III
ATAQ.US         ALTIMAR ACQUISITION III
ATCO_D.US       Atlas Corp
ATCO_H.US       Atlas Corp
ATCO_I.US       Atlas Corp
ATEK-U.US       ATHENA TECHNOLOGY ACQUISITION II
ATEK.US         ATHENA TECHNOLOGY ACQUISITION II
ATEN.US         A10 NETWORKS
ATGE.US         ADTALEM GLOBAL EDUCATION
ATHM.US         AUTOHOME
ATH_A.US        Athene Holding Ltd
ATH_B.US        Athene Holding Ltd
ATH_C.US        Athene Holding Ltd
ATH_D.US        Athene Holding Ltd
ATH_E.US        Athene Holding Ltd
ATI.US          ATI
ATIP.US         ATI PHYSICAL THERAPY
ATKR.US         ATKORE
ATMU.US         ATMUS FILTRATION TECHNOLOGIES
ATO.US          ATMOS ENERGY
ATR.US          APTARGROUP
ATS.US          ATS
ATTOF.US        ATENTO
ATUS.US         ALTICE USA
AU.US           ANGLOGOLD ASHANTI
AUB.US          ATLANTIC UNION BANKSHARES
AUB_A.US        Atlantic Union Bankshares Corp
AUDA.US         AUDACY
AUGT.US         AllianzIM US Large Cap Buffer1
AUGW.US         AllianzIM US Large Cap Buffer2
AVA.US          AVISTA
AVAL.US         GRUPO AVAL ACCIONES Y VALORES
AVB.US          AVALONBAY COMMUNITIES
AVD.US          AMERICAN VANGUARD
AVDS.US         AVANTIS INT SMALL CAP EQUITY ETF
AVGE.US         AVANTIS ALL EQUITY MARKETS ETF
AVGV.US         Avantis All Equity Markets Val
AVIE.US         AVANTIS INFLATION FOCUSED EQUITY ETF
AVK.US          ADVENT CONVERTIBLE AND INCOME FUND
AVMA.US         Avantis Moderate Allocation ET
AVNM.US         Avantis All International Mark
AVNS.US         AVANOS MEDICAL
AVNT.US         AVIENT
AVNV.US         Avantis All International Mark
AVSD.US         AVANTIS RESPONSIBLE INT EQUITY ETF
AVSE.US         AVANTIS RESPONSIBLE EMERGING MARKETS EQUITY ETF
AVSU.US         AVANTIS RESPONSIBLE US EQUITY ETF
AVTR.US         AVANTOR
AVY.US          AVERY DENNISON
AWEG.US         ALGER WEATHERBIE ENDURING GROWTH ETF
AWF.US          ALLIANCEBERNSTEIN GLOBAL HIGH INCOME FUND
AWI.US          ARMSTRONG WORLD INDUSTRIES
AWK.US          AMERICAN WATER WORKS
AWR.US          AMERICAN STATES WATER
AX.US           AXOS FINANCIAL
AXL.US          AMERICAN AXLE & MANUFACTURING HOLDINGS
AXP.US          AMERICAN EXPRESS
AXR.US          AMREP
AXS.US          AXIS CAPITAL HOLDINGS
AXS_E.US        AXIS Capital Holdings Limited
AXTA.US         AXALTA COATING SYSTEMS
AYI.US          ACUITY BRANDS
AYX.US          ALTERYX
AZEK.US         AZEK
AZO.US          AUTOZONE
AZREF.US        AZURE POWER GLOBAL
AZTD.US         AZTLAN GLOBAL STOCK SELECTION DM SMID ETF
AZUL.US         AZUL
AZZ.US          AZZ
B.US            BARNES GROUP
BA.US           BOEING
BABA.US         ALIBABA GROUP HOLDING
BAC.US          BANK OF AMERICA
BAC_B.US        Bank of America Corp
BAC_E.US        Bank of America Corp
BAC_K.US        Bank of America Corp
BAC_L.US        Bank Of America Corp
BAC_M.US        Bank of America Corp
BAC_N.US        Bank of America Corp
BAC_O.US        Bank of America Corp
BAC_P.US        Bank of America Corp
BAC_Q.US        Bank of America Corp
BAC_S.US        Bank of America Corp
BAH.US          BOOZ ALLEN HAMILTON HOLDING
BAK.US          BRASKEM
BALL.US         BALL
BALY.US         BALLY'S
BAM.US          BROOKFIELD ASSET MANAGEMENT
BANC.US         BANC OF CALIFORNIA
BAP.US          CREDICORP
BARK-WS.US      BARK
BARK.US         BARK
BAX.US          BAXTER INT
BB.US           BLACKBERRY
BBAG.US         JPMORGAN BETABUILDERS US AGG
BBAI-WS.US      BIGBEAR.AI HOLDINGS
BBAI.US         BIGBEAR.AI HOLDINGS
BBAR.US         BANCO BBVA ARGENTINA
BBCB.US         JPMORGAN BETABUILDERS USD INVE
BBD.US          BANCO BRADESCO
BBDC.US         BARINGS BDC
BBDO.US         BANCO BRADESCO
BBEM.US         JPMORGAN BETABUILDERS EMERGING MARKETS EQUITY ETF
BBHY.US         JPMORGAN BETABUILDERS USD HIGH
BBIB.US         JPMORGAN BETABUILDERS US TREASURY BOND 3-10Y ETF
BBIP.US         JPMorgan BetaBuilders US TIPS 
BBLB.US         JPMORGAN BETABUILDERS US TREASURY BOND 20+Y ETF
BBLN.US         BABYLON HOLDINGS LTD/JERSEY
BBLU.US         EA BRIDGEWAY BLUE CHIP ETF
BBN.US          BLACKROCK TAXABLE MUNICIPAL BOND TRUST
BBSB.US         JPMORGAN BETABUILDERS US TREASURY BOND 1-3Y ETF
BBU.US          BROOKFIELD BUSINESS PARTNERS
BBUC.US         BROOKFIELD BUSINESS
BBVA.US         BANCO BILBAO VIZCAYA ARGENTARIA
BBW.US          BUILD-A-BEAR WORKSHOP
BBWI.US         BATH & BODY WORKS
BBY.US          BEST BUY
BC.US           BRUNSWICK CORP/DE
BCAT.US         BLACKROCK CAPITAL ALLOCATION TERM TRUST
BCC.US          BOISE CASCADE
BCDF.US         HORIZON KINETICS BLOCKCHAIN DEVELOPMENT ETF
BCE.US          BCE
BCH.US          BANCO DE CHILE
BCHP.US         PRINCIPAL FOCUSED BLUE CHIP ETF
BCO.US          BRINK'S
BCS.US          BARCLAYS
BCSF.US         BAIN CAPITAL SPECIALTY FINANCE
BC_A.US         Brunswick Corp
BC_B.US         Brunswick Corp
BC_C.US         Brunswick Corp
BDC.US          BELDEN
BDJ.US          BLACKROCK ENHANCED EQUITY DIVIDEND TRUST
BDN.US          BRANDYWINE REALTY TRUST
BDVG.US         IMGP Berkshire Dividend Growth
BDX.US          BECTON DICKINSON
BE.US           BLOOM ENERGY
BEDU.US         BRIGHT SCHOLAR EDUCATION HOLDINGS
BEKE.US         KE HOLDINGS
BEMB.US         ISHARES JP MORGAN BROAD USD EMERGING MARKETS BOND ETF
BEN.US          FRANKLIN RESOURCES
BEP.US          BROOKFIELD RENEWABLE PARTNERS
BEPC.US         BROOKFIELD RENEWABLE
BEPH.US         Brookfield BRP Holdings (Canad
BEPI.US         Brookfield BRP Holdings (Canad
BEP_A.US        Brookfield Renewable Partners 
BERY.US         BERRY GLOBAL GROUP
BEST.US         BEST
BF-A.US         BROWN-FORMAN
BF-B.US         BROWN-FORMAN
BFAC-U.US       BATTERY FUTURE ACQUISITION
BFAC-WS.US      BATTERY FUTURE ACQUISITION
BFAC.US         BATTERY FUTURE ACQUISITION
BFAM.US         BRIGHT HORIZONS FAMILY SOLUTIONS
BFH.US          BREAD FINANCIAL HOLDINGS
BFK.US          BLACKROCK MUNICIPAL INCOME TRUST
BFLY-WS.US      BUTTERFLY NETWORK
BFLY.US         BUTTERFLY NETWORK
BFS.US          SAUL CENTERS
BFS_D.US        Saul Centers
BFS_E.US        Saul Centers
BFZ.US          BLACKROCK CALIFORNIA MUNICIPAL INCOME TRUST
BG.US           BUNGE
BGB.US          BLACKSTONE STRATEGIC CREDIT 2027 TERM FUND
BGH.US          BARINGS GLOBAL SHORT DURATION HIGH YIELD FUND
BGR.US          BLACKROCK ENERGY AND RESOURCES TRUST
BGS.US          B&G FOODS
BGSF.US         BGSF
BGT.US          BLACKROCK FLOATING RATE INCOME TRUST
BGX.US          BLACKSTONE LONG-SHORT CREDIT INCOME FUND
BGY.US          BLACKROCK ENHANCED INT DIVIDEND TRUST
BH-A.US         BIGLARI HOLDINGS
BH.US           BIGLARI HOLDINGS
BHC.US          BAUSCH HEALTH COS
BHE.US          BENCHMARK ELECTRONICS
BHG.US          BRIGHT HEALTH GROUP
BHIL-WS.US      BENSON HILL
BHIL.US         BENSON HILL
BHK.US          BLACKROCK CORE BOND TRUST
BHLB.US         BERKSHIRE HILLS BANCORP
BHP.US          BHP GROUP
BHR.US          BRAEMAR HOTELS & RESORTS
BHR_B.US        Braemar Hotels & Resorts
BHR_D.US        Braemar Hotels & Resorts
BHVN.US         BIOHAVEN
BIG.US          BIG LOTS
BIGZ.US         BLACKROCK INNOVATION AND GROWTH TERM TRUST
BILL.US         BILL HOLDINGS
BILZ.US         PIMCO ULTRA SHORT GOVERNMENT ACTIVE ETF
BINC.US         BlackRock Flexible Income ETF
BIO.US          BIO-RAD LABORATORIES
BIP.US          BROOKFIELD INFRASTRUCTURE PARTNERS
BIPC.US         BROOKFIELD INFRASTRUCTURE
BIPH.US         Brookfield Infrastructure Fina
BIPI.US         BIP Bermuda Holdings I Limited
BIP_A.US        Brookfield Infrastructure Part
BIP_B.US        Brookfield Infrastructure Part
BITC.US         BITWISE BITCOIN STRATEGY OPTIMUM ROLL ETF
BITI.US         PROSHARES SHORT BITCOIN STRATEGY ETF
BITX.US         2X BITCOIN STRATEGY ETF
BJ.US           BJ'S WHOLESALE CLUB HOLDINGS
BK.US           BANK OF NEW YORK MELLON
BKD.US          BROOKDALE SENIOR LIVING
BKDT.US         Brookdale Senior Living
BKE.US          BUCKLE
BKGI.US         BNY MELLON GLOBAL INFRASTRUCTURE INCOME ETF
BKH.US          BLACK HILLS
BKI.US          BLACK KNIGHT
BKKT-WS.US      BAKKT HOLDINGS
BKKT.US         BAKKT HOLDINGS
BKN.US          BLACKROCK INVESTMENT QUALITY MUNICIPAL TRUST
BKSY-WS.US      BLACKSKY TECHNOLOGY
BKSY.US         BLACKSKY TECHNOLOGY
BKT.US          BLACKROCK INCOME TRUST
BKU.US          BANKUNITED
BLCO.US         BAUSCH + LOMB
BLCV.US         BlackRock Large Cap Value ETF
BLD.US          TOPBUILD
BLDR.US         BUILDERS FIRSTSOURCE
BLE.US          BLACKROCK MUNICIPAL INCOME TRUST II
BLK.US          BLACKROCK
BLND.US         BLEND LABS
BLW.US          BLACKROCK DURATION INCOME TRUST
BLX.US          BANCO LATINOAMERICANO DE COMERCIO EXTERIOR
BMA.US          BANCO MACRO
BMAC-U.US       BLACK MOUNTAIN ACQUISITION
BMAC-WS.US      BLACK MOUNTAIN ACQUISITION
BMAC.US         BLACK MOUNTAIN ACQUISITION
BME.US          BLACKROCK HEALTH SCIENCES TRUST
BMEZ.US         BLACKROCK HEALTH SCIENCES TERM TRUST
BMI.US          BADGER METER
BML_G.US        Bank Of America Corp
BML_H.US        Bank Of America Corp
BML_J.US        Bank of America
BML_L.US        Bank of America
BMN.US          BLACKROCK 2037 MUNICIPAL TARGET TERM TRUST
BMO.US          BANK OF MONTREAL
BMY.US          BRISTOL-MYERS SQUIBB
BN.US           BROOKFIELD
BNDI.US         NEOS ENHANCED INCOME AGGREGATE BOND ETF
BNED.US         BARNES & NOBLE EDUCATION
BNH.US          Brookfield Finance
BNJ.US          Brookfield Finance I plc
BNL.US          BROADSTONE NET LEASE
BNRE.US         BROOKFIELD REINSURANCE
BNS.US          BANK OF NOVA SCOTIA
BNY.US          BLACKROCK NEW YORK MUNICIPAL INCOME TRUST
BOAC-U.US       BLUESCAPE OPPORTUNITIES ACQUISITION
BOAC-WS.US      BLUESCAPE OPPORTUNITIES ACQUISITION
BOAC.US         BLUESCAPE OPPORTUNITIES ACQUISITION
BOC.US          BOSTON OMAHA
BODY-WS.US      BEACHBODY
BODY.US         BEACHBODY
BOH.US          BANK OF HAWAII
BOH_A.US        Bank of Hawaii Corp
BOOT.US         BOOT BARN HOLDINGS
BORR.US         BORR DRILLING
BOWL.US         BOWLERO
BOX.US          BOX
BOXX.US         ALPHA ARCHITECT 1-3 MONTH BOX ETF
BP.US           BP
BPAY.US         BLACKROCK FUTURE FINANCIAL AND TECHNOLOGY ETF
BPT.US          BP PRUDHOE BAY ROYALTY TRUST
BQ.US           BOQII HOLDING
BR.US           BROADRIDGE FINANCIAL SOLUTIONS
BRBR.US         BELLRING BRANDS
BRC.US          BRADY
BRCC.US         BRC
BRD-U.US        BEARD ENERGY TRANSITION ACQUISITION
BRD-WS.US       BEARD ENERGY TRANSITION ACQUISITION
BRD.US          BEARD ENERGY TRANSITION ACQUISITION
BRDG.US         BRIDGE INVESTMENT GROUP HOLDINGS
BRDS-WS.US      BIRD GLOBAL
BRDS.US         BIRD GLOBAL
BRFS.US         BRF
BRK-A.US        BERKSHIRE HATHAWAY
BRK-B.US        BERKSHIRE HATHAWAY
BRLN.US         BLACKROCK FLOATING RATE LOAN ETF
BRMK.US         BROADMARK REALTY CAPITAL
BRO.US          BROWN & BROWN
BROS.US         DUTCH BROS
BRSP.US         BRIGHTSPIRE CAPITAL
BRT.US          BRT APARTMENTS
BRW.US          SABA CAPITAL INCOME & OPPORTUNITIES FUND
BRX.US          BRIXMOR PROPERTY GROUP
BSAC.US         BANCO SANTANDER CHILE
BSAQ.US         BLACK SPADE ACQUISITION
BSBR.US         BANCO SANTANDER BRASIL
BSIG.US         BRIGHTSPHERE INVESTMENT GROUP
BSL.US          BLACKSTONE SENIOR FLOATING RATE 2027 TERM FUND
BSM.US          BLACK STONE MINERALS
BSR.US          BEACON SELECTIVE RISK ETF
BST.US          BLACKROCK SCIENCE & TECHNOLOGY TRUST
BSTP.US         INNOVATOR BUFFER STEP-UP STRATEGY ETF
BSTZ.US         BLACKROCK SCIENCE AND TECHNOLOGY TERM TRUST
BSX.US          BOSTON SCIENTIFIC
BTA.US          BLACKROCK LONG-TERM MUNICIPAL ADVANTAGE TRUST
BTCM.US         BIT MINING
BTE.US          BAYTEX ENERGY
BTI.US          BRITISH AMERICAN TOBACCO
BTO.US          JOHN HANCOCK FINANCIAL OPPORTUNITIES FUND
BTR.US          BEACON TACTICAL RISK ETF
BTT.US          BLACKROCK MUNICIPAL 2030 TARGET TERM TRUST
BTU.US          PEABODY ENERGY
BTZ.US          BLACKROCK CREDIT ALLOCATION INCOME TRUST
BUCK.US         SIMPLIFY STABLE INCOME ETF
BUD.US          ANHEUSER-BUSCH INBEV SA/NV
BUFQ.US         FT CBOE VEST FUND OF NASDAQ-100 BUFFER ETFS
BUI.US          BLACKROCK UTILITIES INFRASTRUCTURE & POWER OPPORTUNITIES TRUST
BUR.US          BURFORD CAPITAL
BURL.US         BURLINGTON STORES
BUYW.US         MAIN BUYWRITE ETF
BV.US           BRIGHTVIEW HOLDINGS
BVH.US          BLUEGREEN VACATIONS HOLDING
BVN.US          CIA DE MINAS BUENAVENTURA SAA
BW.US           BABCOCK & WILCOX ENTERPRISES
BWA-W.US        BorgWarner
BWA.US          BORGWARNER
BWEB.US         BITWISE WEB3 ETF
BWET.US         BREAKWAVE TANKER SHIPPING ETF
BWG.US          BRANDYWINEGLOBAL GLOBAL INCOME OPPORTUNITIES FUND
BWNB.US         Babcock & Wilcox Enterprises
BWSN.US         Babcock & Wilcox Enterprises
BWXT.US         BWX TECHNOLOGIES
BW_A.US         Babcock & Wilcox Enterprises
BX.US           BLACKSTONE
BXC.US          BLUELINX HOLDINGS
BXMT.US         BLACKSTONE MORTGAGE TRUST
BXMX.US         NUVEEN S&P 500 BUY-WRITE INCOME FUND
BXP.US          BOSTON PROPERTIES
BXSL.US         BLACKSTONE SECURED LENDING FUND
BY.US           BYLINE BANCORP
BYD.US          BOYD GAMING
BYM.US          BLACKROCK MUNICIPAL INCOME QUALITY TRUST
BYN-U.US        BANYAN ACQUISITION
BYN-WS.US       BANYAN ACQUISITION
BYN.US          BANYAN ACQUISITION
BYRE.US         PRINCIPAL REAL ESTATE ACTIVE OPPORTUNITIES ETF
BZH.US          BEAZER HOMES USA
C.US            CITIGROUP
CAAP.US         AMERICA AIRPORTS
CABO.US         CABLE ONE
CACI.US         CACI INT
CADE.US         CADENCE BANK
CADE_A.US       Cadence Bank
CAE.US          CAE
CAF.US          MORGAN STANLEY CHINA A SHARE FUND
CAG.US          CONAGRA BRANDS
CAH.US          CARDINAL HEALTH
CAL.US          CALERES
CALX.US         CALIX
CAMX.US         CAMBIAR AGGRESSIVE VALUE ETF
CANG.US         CANGO INC/KY
CANO-WS.US      CANO HEALTH
CANO.US         CANO HEALTH
CAOS.US         ALPHA ARCHITECT TAIL RISK ETF
CAPE.US         DOUBLELINE SHILLER CAPE US EQUITIES ETF
CAPL.US         CROSSAMERICA PARTNERS
CARD.US         MAX Auto Industry -3x Inverse 
CARR.US         CARRIER GLOBAL
CARS.US         CARS.COM
CARU.US         MAX Auto Industry 3x Leveraged
CARY.US         ANGEL OAK INCOME ETF
CAT.US          CATERPILLAR
CATO.US         CATO
